Abbreviation; Name; When; Where; Deadline
IEEE DSAA'2016;IEEE DSAA'2016: IEEE International Conference on Data Science and Advanced Analytics;Oct 17, 2016 - Oct 19, 2016; Montreal, Canada;May 20, 2016
RW-BPMS 2016;2nd Workshop on the Role of Real-world objects in Business Process Management Systems;Sep 5, 2016 - Sep 6, 2016; Vienna, Austria;May 20, 2016
ECAI 2016;8th International Conference on Electronics, Computers and Artificial Intelligence;Jun 30, 2016 - Jul 2, 2016; Ploiesti, Romania;May 20, 2016
PLoP 2016;23rd International Pattern Languages of Programs Conference 2016;Nov 24, 2016 - Nov 26, 2016; Allerton Park, IL, USA;May 19, 2016
ICSS 2016;2016 9th International Conference on Service Science;Oct 15, 2016 - Oct 16, 2016; Chongqing, China;May 15, 2016
6th ICITCS 2016; International Conference on IT Convergence and Security;Sep 26, 2016 - Sep 29, 2016; Prague, Czech Republic;May 15, 2016
ICCBR 2016; International Conference on Case Base Reasoning;Oct 31, 2016 - Nov 2, 2016; Atlanta, Georgia, USA;May 15, 2016
MASCOTS 2016; Modeling, Analysis, and Simulation On Computer and Telecommunication Systems;Sep 19, 2016 - Sep 21, 2016; London, UK;May 15, 2016
ISSE 2016;2016 IEEE International Symposium on Systems Engineering;Oct 4, 2016 - Oct 5, 2016; Edinburgh, Scotland;May 15, 2016
PEMWN 2016;The 5th International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks;Nov 22, 2016 - Nov 25, 2016; Paris, France;May 15, 2016
DSE-ICPP2016;International Workshop on Data Science and Engineering (with ICPP2016);Aug 16, 2016 - Aug 19, 2016; Philadelphia, PA USA;May 13, 2016
IJCCI 2016;The 8th International Joint Conference on Computational Intelligence â€“ IJCCI 2016;Nov 9, 2016 - Nov 11, 2016; Porto, Portugal;May 12, 2016
IC3K 2016;The 8th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management;Nov 9, 2016 - Nov 11, 2016; Porto, Portugal;May 12, 2016
KEOD 2016;The 8th International Conference on Knowledge Engineering and Ontology Development;Nov 9, 2016 - Nov 11, 2016; Porto, Portugal;May 12, 2016
KMIS 2016;The 8th International Conference on Knowledge Management and Information Sharing;Nov 9, 2016 - Nov 11, 2016; Porto, Portugal;May 12, 2016
KDIR 2016;The 8th International Conference on Knowledge Discovery and Information Retrieval;Nov 9, 2016 - Nov 11, 2016; Porto, Portugal;May 12, 2016
NGMAST 2016;10th International Conference on Next Generation Mobile Applications, Security and Technologies;Aug 24, 2016 - Aug 26, 2016; Cardiff, UK;May 10, 2016
